// 翻译注意事项：
// 1、文本格式为UTF-8。
// 2、仅翻译等号右侧、引号内的中文文本即可，引号内的英文无需翻译。
// 3、双斜杠“//”后的中文无需翻译，为备注提示信息。
// 4、中文里的{0}{1}为动态替换文本，很特别的话我会给出范例。
// 5、[feee75]xxxx[-]这类的文本，中括号内的为颜色代码，无需翻译。

// *******************************************
// *******************************************
// ****************客户端本地化资源***********
// *******************************************
// *******************************************


// CombatSetWnd
CombatSetWnd_1 =增益状态
CombatSetWnd_2 =首领战策略
CombatSetWnd_3 =放  弃
CombatSetWnd_4 =◆ {0}
CombatSetWnd_5 =确认结束战斗吗？
CombatSetWnd_6 =暂 停
CombatSetWnd_7 =首领战策略
CombatSetWnd_8 =手动策略
CombatSetWnd_9 =自动战斗
CombatSetWnd_10 =顺序攻击
CombatSetWnd_11 =无增益状态
CombatSetWnd_12 =确认结束回放吗？
CombatSetWnd_13 =过图中，放弃失败！
CombatSetWnd_14 =过图中，结束回放失败！

// SelectFighterWnd
SelectFighterWnd_1 =开始战斗
SelectFighterWnd_2 =离开战斗
SelectFighterWnd_3 =至少要安排一个使魔
SelectFighterWnd_4 =我的使魔
SelectFighterWnd_5 =好友使魔
SelectFighterWnd_6 =挑战任务
SelectFighterWnd_7 =没有好友
SelectFighterWnd_8 =添加好友
SelectFighterWnd_9 =通过添加好友可获得好友共享使魔使用权利
SelectFighterWnd_10 =队长技能:
SelectFighterWnd_11 =无 增益
SelectFighterWnd_12 =◆ {0} ◆
SelectFighterWnd_13 ={0} 不足，进入失败。
SelectFighterWnd_14 ={0} 的隐藏圣域
SelectFighterWnd_15 =好友的共享使魔只能参加一个。
SelectFighterWnd_16 =栏位中使魔已满。
SelectFighterWnd_17 =已使用的使魔。
SelectFighterWnd_18 =设定队长
SelectFighterWnd_19 =前排
SelectFighterWnd_20 =后排
SelectFighterWnd_21 =请选择作为队长位置
SelectFighterWnd_22 =所选队长没有队长技能，是否继续战斗？
SelectFighterWnd_23 =继续
SelectFighterWnd_25 =选择出战使魔不符合规则，请重新选择
SelectFighterWnd_26 =[FFECDA]循环战斗[-]
SelectFighterWnd_27 =[FFECDA]（装备自动出售）[-]
SelectFighterWnd_28 =自动循环战斗至体力不足或任一队员升至满级
SelectFighterWnd_29 =需要等级达到{0}级以后才可以使用「循环战斗」功能。
SelectFighterWnd_30 =通关此副本后才可使用。
SelectFighterWnd_31 =队员均为满级，无法开启循环战斗。
SelectFighterWnd_32 ={0} 不足
SelectFighterWnd_33 =是否立即前往购买
SelectFighterWnd_34 =包裹已满
SelectFighterWnd_35 =装备包裹已满，无法开始战斗。
SelectFighterWnd_36 =当前副本没有解锁，进入失败。
SelectFighterWnd_37 =当前战斗中无法使用好友使魔
SelectFighterWnd_38 =[9fff41]（{0} 秒后开始）[-]
SelectFighterWnd_39 =当前层通天塔没有解锁，进入失败。
SelectFighterWnd_40 =该副本不能使用相同的使魔。
SelectFighterWnd_41 =[FFECDA]自动圣域[-]
SelectFighterWnd_42 =[FFECDA]自动爬塔[-]
SelectFighterWnd_43 =体力不足、战斗失败、装备包裹满将停止自动
SelectFighterWnd_44 =体力不足、战斗失败、到达顶层将停止自动
SelectFighterWnd_45 =[ffa6a6]（需要月卡）[-]
SelectFighterWnd_46 =[ffa6a6]月卡到期[-]
SelectFighterWnd_47 =剩余:{0}天
SelectFighterWnd_48 =[ffa6a6]自动圣域[-]
SelectFighterWnd_49 =[ffa6a6]自动爬塔[-]
SelectFighterWnd_50 =[ffa6a6]（装备自动保留）[-]
SelectFighterWnd_51 =[ffa6a6]（装备自动出售）[-]
SelectFighterWnd_52 =月卡到期，无法再使用「自动圣域」系统。
SelectFighterWnd_53 =立即购买
SelectFighterWnd_54 =月卡到期，无法再使用「自动爬塔」功能。
SelectFighterWnd_55 =剩余:{0}时
SelectFighterWnd_56 =剩余:{0}分
SelectFighterWnd_57 =剩余:{0}秒
SelectFighterWnd_58 =[FFECDA]（自动前往高层）[-]
SelectFighterWnd_59 =[ffa6a6]（自动前往高层）[-]
SelectFighterWnd_60 =[u][00EBFF]购买月卡[-][/u]

// PetInfoWnd
PetInfoWnd_1 =合成
PetInfoWnd_2 =等级
PetInfoWnd_3 =生命
PetInfoWnd_4 =攻击
PetInfoWnd_5 =防御
PetInfoWnd_6 =敏捷
PetInfoWnd_8 =暴击率
PetInfoWnd_9 =效果命中
PetInfoWnd_10 =效果抵抗
PetInfoWnd_11 =套装属性
PetInfoWnd_12 ={0}{1}级 {2}
PetInfoWnd_13 =暴击伤害

// MonsterTipsWnd
MonsterTipsInfoWnd_1 =暴击
MonsterTipsWnd_2 =格挡
MonsterTipsWnd_3 =无视防御
MonsterTipsWnd_4 =能量
MonsterTipsWnd_5 =持续伤害
MonsterTipsWnd_6 =穿刺攻击
MonsterTipsWnd_7 =伤害反射
MonsterTipsWnd_8 =最大生命
MonsterTipsWnd_9 =最大能量

// LoadingWnd
LoadingWnd_1 =使魔星级和战力不是评判其实力的标准，合理搭配才是关键

//LoginWnd
LoginWnd_1 =点击输入账号
LoginWnd_2 =点击输入密码
LoginWnd_3 =登录>
LoginWnd_4 =注册账号
LoginWnd_5 =忘记密码？
LoginWnd_6 =点击画面，开始游戏
LoginWnd_7 =请输入您的名字：
LoginWnd_8 =确认
LoginWnd_9 =请输入1~7个汉字，1~12个英文字母或数字
LoginWnd_10 =角色名字不能为空。
LoginWnd_11 =角色名字不能超过6个汉字或12个字母。
LoginWnd_12 =名称修改成功。
LoginWnd_13 =男
LoginWnd_14 =女
LoginWnd_15 =所输入的文字包含非法字符！
LoginWnd_16 =注销
LoginWnd_17 =已登录
LoginWnd_18 =游客
LoginWnd_19 =FaceBook
LoginWnd_20 =Google
LoginWnd_21 =青瓷数码
LoginWnd_22 =登录方式
LoginWnd_23 =登录失败。原因：{0}
LoginWnd_24 =登出失败。原因：{0}
LoginWnd_25 =切换账号
LoginWnd_26 =点击画面，登录账号

// LoginMgr
LoginMgr_1 =账号绑定成功
LoginMgr_2 =账号绑定失败：{0}
LoginMgr_3 =网络异常，与服务器连接中断。
LoginMgr_4 =系统提示
LoginMgr_5 =尝试重连
LoginMgr_6 =返回登录
LoginMgr_7 =登录中...
LoginMgr_8 =切换账号失败，原因：{0}
LoginMgr_9 =账号认证失败，请检查网络后重试。
LoginMgr_10 =账号认证超时，请检查输入的账号密码是否正确。
LoginMgr_11 =创建角色失败，请检查网络后重试。

// PurchaseMgr
PurchaseMgr_1 =正在确认购买信息中…
PurchaseMgr_2 =正在与 App Store 确认购买信息中

// ShowPetsWnd
ShowPetsWnd_1 =等级排序
ShowPetsWnd_2 =星级排序
ShowPetsWnd_3 =属性排序
ShowPetsWnd_4 =最近使用
