"# instance_formation.csv",,,,,,
"# 副本配置表",,,,,,
"# 副本ID","物件编号","物件编号脚本","物件编号脚本参数","始化计算脚本","始化脚本参数","备注"
"auto","auto","auto","auto","auto","auto","auto"
"instance_id","resource_id","class_id_script","class_id_args","init_script","init_script_args","desc"
"# 兰达平原·1·普通",,,,,,
"landa1e","""3011""",30004,3011,30005,"([""rank"":0,""star"":1,""level"":1,""is_boss"":@FALSE])","异兔·火"
"landa1e","""3011""",30004,3011,30005,"([""rank"":0,""star"":1,""level"":1,""is_boss"":@FALSE])","异兔·火"
"landa1e","""1012""",30004,1012,30005,"([""rank"":0,""star"":3,""level"":1,""is_boss"":@FALSE])","毒蘑菇·风"
"# 兰达平原·2·普通",,,,,,
"landa2e","""3012""",30004,3012,30005,"([""rank"":0,""star"":1,""level"":1,""is_boss"":@FALSE])","异兔·风"
"landa2e","""3012""",30004,3012,30005,"([""rank"":0,""star"":1,""level"":1,""is_boss"":@FALSE])","异兔·风"
"landa2e","""3012""",30004,3012,30005,"([""rank"":0,""star"":3,""level"":1,""is_boss"":@FALSE])","异兔·风"
"# 兰达平原·3·普通",,,,,,
"landa3e","""3011""",30004,3011,30005,"([""rank"":0,""star"":1,""level"":2,""is_boss"":@FALSE])","异兔·火"
"landa3e","""1012""",30004,1012,30005,"([""rank"":0,""star"":1,""level"":2,""is_boss"":@FALSE])","毒蘑菇·风"
"landa3e","""1013""",30004,1013,30005,"([""rank"":0,""star"":3,""level"":2,""is_boss"":@FALSE])","毒蘑菇·水"
"# 兰达平原·4·普通",,,,,,
"landa4e","""1012""",30004,1012,30005,"([""rank"":0,""star"":1,""level"":2,""is_boss"":@FALSE])","毒蘑菇·风"
"landa4e","""1012""",30004,1012,30005,"([""rank"":0,""star"":1,""level"":2,""is_boss"":@FALSE])","毒蘑菇·风"
"landa4e","""4011""",30004,4011,30005,"([""rank"":0,""star"":3,""level"":2,""is_boss"":@FALSE])","流浪战士·火"
"# 兰达平原·5·普通",,,,,,
"landa5e","""4012""",30004,4012,30005,"([""rank"":0,""star"":1,""level"":3,""is_boss"":@FALSE])","流浪战士·风"
"landa5e","""4012""",30004,4012,30005,"([""rank"":0,""star"":1,""level"":3,""is_boss"":@FALSE])","流浪战士·风"
"landa5e","""1012""",30004,1012,30005,"([""rank"":0,""star"":3,""level"":3,""is_boss"":@FALSE])","毒蘑菇·风"
"# 兰达平原·6·普通",,,,,,
"landa6e","""1012""",30004,1012,30005,"([""rank"":0,""star"":1,""level"":3,""is_boss"":@FALSE])","毒蘑菇·风"
"landa6e","""1013""",30004,1013,30005,"([""rank"":0,""star"":1,""level"":3,""is_boss"":@FALSE])","毒蘑菇·水"
"landa6e","""1013""",30004,1013,30005,"([""rank"":0,""star"":3,""level"":3,""is_boss"":@FALSE])","毒蘑菇·水"
"# 兰达平原·7·普通",,,,,,
"landa7e","""4011""",30004,4011,30005,"([""rank"":0,""star"":1,""level"":4,""is_boss"":@FALSE])","流浪战士·火"
"landa7e","""1011""",30004,1011,30005,"([""rank"":0,""star"":1,""level"":4,""is_boss"":@FALSE])","毒蘑菇·火"
"landa7e","""1013""",30004,1013,30005,"([""rank"":0,""star"":1,""level"":4,""is_boss"":@FALSE])","毒蘑菇·水"
"landa7e","""3072""",30004,3072,30005,"([""rank"":2,""star"":3,""level"":4,""is_boss"":@TRUE])","人马战士·风"
"# 兰达平原·1·困难",,,,,,
"landa1n","""3011""",30004,3011,30005,"([""rank"":0,""star"":2,""level"":16,""is_boss"":@FALSE])","异兔·火"
"landa1n","""3011""",30004,3011,30005,"([""rank"":0,""star"":2,""level"":16,""is_boss"":@FALSE])","异兔·火"
"landa1n","""4012""",30004,4012,30005,"([""rank"":0,""star"":4,""level"":16,""is_boss"":@FALSE])","流浪战士·风"
"# 兰达平原·2·困难",,,,,,
"landa2n","""3012""",30004,3012,30005,"([""rank"":0,""star"":2,""level"":17,""is_boss"":@FALSE])","异兔·风"
"landa2n","""3012""",30004,3012,30005,"([""rank"":0,""star"":2,""level"":17,""is_boss"":@FALSE])","异兔·风"
"landa2n","""3013""",30004,3013,30005,"([""rank"":0,""star"":4,""level"":17,""is_boss"":@FALSE])","异兔·水"
"# 兰达平原·3·困难",,,,,,
"landa3n","""3011""",30004,3011,30005,"([""rank"":0,""star"":2,""level"":17,""is_boss"":@FALSE])","异兔·火"
"landa3n","""4013""",30004,4013,30005,"([""rank"":0,""star"":2,""level"":17,""is_boss"":@FALSE])","流浪战士·水"
"landa3n","""4011""",30004,4011,30005,"([""rank"":0,""star"":4,""level"":17,""is_boss"":@FALSE])","流浪战士·火"
