"# monster_init.csv",,,,,
"# 怪物初始化配置表",,,,,
"# 规则名","属性","是否temp字段","计算公式","计算参数","备注"
"auto","auto","auto","auto","auto","auto"
"rule","attrib","is_temp","calc_prop","calc_arg","memo"
"# 宠物",,,,,
"pet10","attack",0,"CALC_MONSTER_INIT_ATTACK",1000,"攻击"
"pet10","defense",0,"CALC_MONSTER_INIT_DEFENSE",1000,"防御"
"pet10","max_hp",0,"CALC_MONSTER_INIT_MAX_HP",1000,"最大生命值"
"pet10","hp",0,"CALC_INIT_HP",1,"生命值"
"pet10","max_mp",0,"CALC_PET_INIT_MAX_MP",5,"最大能量值"
"pet10","mp",0,"CALC_INIT_MP",3,"能量值"
"pet10","agility",0,"CALC_MONSTER_INIT_AGI",1000,"敏捷"
"pet10","speed",0,"CALC_MONSTER_INIT_SPD",1000,"速度"
"pet10","bonus_rule",0,"CALC_PET_INIT_BONUS_RULE","({""arena_user_money_bonus""})","掉落规则"
"# 默认",,,,,
"default","attack",0,"CALC_MONSTER_INIT_ATTACK",1000,"攻击"
"default","defense",0,"CALC_MONSTER_INIT_DEFENSE",1000,"防御"
"default","max_hp",0,"CALC_MONSTER_INIT_MAX_HP",1000,"最大生命值"
"default","hp",0,"CALC_INIT_HP",1,"生命值"
"default","skills",0,"CALC_MONSTER_INIT_SKILLS","({})","技能"
"default","max_mp",0,"CALC_PET_INIT_MAX_MP",1,"最大能量值"
"default","mp",0,"CALC_INIT_MP",3,"能量值"
"default","agility",0,"CALC_MONSTER_INIT_AGI",1000,"敏捷"
"default","speed",0,"CALC_MONSTER_INIT_SPD",1000,"速度"
"# 测试",,,,,
"test","attack",0,"CALC_MONSTER_INIT_ATTRIB",200,"攻击"
"test","defense",0,"CALC_MONSTER_INIT_ATTRIB",200,"物理防御"
"test","agility",0,"CALC_MONSTER_INIT_ATTRIB",100,"敏捷"
"test","speed",0,"CALC_MONSTER_INIT_SPD",1000,"速度"
"test","max_hp",0,"CALC_MONSTER_INIT_ATTRIB",2000,"最大生命值"
"test","hp",0,"CALC_INIT_HP",1,"生命值"
"test","max_mp",0,"CALC_MONSTER_INIT_MAX_MP",5,"最大能量值"
"test","mp",0,"CALC_INIT_MP",3,"能量值"
"test","crt_rate",1,"CALC_MONSTER_INIT_ATTRIB",0,"暴击"
"test","crt_dmg_rate",0,"CALC_MONSTER_INIT_ATTRIB",150,"暴击伤害"
"test","accuracy_rate_add",0,"CALC_MONSTER_INIT_ATTRIB",200,"效果命中"
"test","resist_rate_add",0,"CALC_MONSTER_INIT_ATTRIB",200,"效果抵抗"
"test","skills",0,"CALC_MONSTER_INIT_SKILLS","({})","技能"
"test","bonus_rule",0,"CALC_MONSTER_INIT_BONUS_RULE","({""normal_money_bonus"",""easy_diamond_bonus"",""easy_life_bonus"",""normal_arena_bonus""})","掉落规则"
"test","appear_action",0,"CALC_INIT_APPEAR_ACTION","SOUL_ENTER_MAP_1","特殊进场表现"
"# 测试·普通",,,,,
"m1000_f","attack",0,"CALC_MONSTER_INIT_ATTACK",1,"攻击"
"m1000_f","defense",0,"CALC_MONSTER_INIT_DEFENSE",1000,"物理防御"
"m1000_f","max_hp",0,"CALC_MONSTER_INIT_MAX_HP",1,"最大生命值"
"m1000_f","hp",0,"CALC_INIT_HP",1,"生命值"
"m1000_f","max_mp",0,"CALC_MONSTER_INIT_MAX_MP",5,"最大能量值"
"m1000_f","mp",0,"CALC_INIT_MP",3,"能量值"
"m1000_f","skills",0,"CALC_MONSTER_INIT_SKILLS","({})","技能"
"m1000_f","bm",0,"CALC_MONSTER_INIT_ATTRIB",1,"bm值"
"m1000_f","bonus_rule",0,"CALC_MONSTER_INIT_BONUS_RULE","({""normal_money_bonus"",""easy_diamond_bonus"",""easy_life_bonus"",""normal_arena_bonus""})","掉落规则"
"m1000_f","appear_action",0,"CALC_INIT_APPEAR_ACTION","SOUL_ENTER_MAP_1","特殊进场表现"
"# 测试·困难",,,,,
"m1000_n","attack",0,"CALC_MONSTER_INIT_ATTACK",1,"攻击"
"m1000_n","defense",0,"CALC_MONSTER_INIT_DEFENSE",1000,"物理防御"
"m1000_n","max_hp",0,"CALC_MONSTER_INIT_MAX_HP",1,"最大生命值"
"m1000_n","hp",0,"CALC_INIT_HP",1,"生命值"
"m1000_n","max_mp",0,"CALC_MONSTER_INIT_MAX_MP",5,"最大能量值"
"m1000_n","mp",0,"CALC_INIT_MP",3,"能量值"
"m1000_n","skills",0,"CALC_MONSTER_INIT_SKILLS","({})","技能"
"m1000_n","bm",0,"CALC_MONSTER_INIT_ATTRIB",1,"bm值"
"m1000_n","bonus_rule",0,"CALC_MONSTER_INIT_BONUS_RULE","({""normal_money_bonus"",""normal_diamond_bonus"",""normal_life_bonus"",""normal_arena_bonus""})","掉落规则"
"m1000_n","appear_action",0,"CALC_INIT_APPEAR_ACTION","SOUL_ENTER_MAP_1","特殊进场表现"
"# 测试·地狱",,,,,
"m1000_h","attack",0,"CALC_MONSTER_INIT_ATTACK",1,"攻击"
"m1000_h","defense",0,"CALC_MONSTER_INIT_DEFENSE",1000,"物理防御"
"m1000_h","max_hp",0,"CALC_MONSTER_INIT_MAX_HP",1,"最大生命值"
"m1000_h","hp",0,"CALC_INIT_HP",1,"生命值"
"m1000_h","max_mp",0,"CALC_MONSTER_INIT_MAX_MP",5,"最大能量值"
"m1000_h","mp",0,"CALC_INIT_MP",3,"能量值"
"m1000_h","skills",0,"CALC_MONSTER_INIT_SKILLS","({})","技能"
"m1000_h","bm",0,"CALC_MONSTER_INIT_ATTRIB",1,"bm值"
"m1000_h","bonus_rule",0,"CALC_MONSTER_INIT_BONUS_RULE","({""normal_money_bonus"",""hard_diamond_bonus"",""hard_life_bonus"",""normal_arena_bonus""})","掉落规则"
"m1000_h","appear_action",0,"CALC_INIT_APPEAR_ACTION","SOUL_ENTER_MAP_1","特殊进场表现"
