"# resource",
"# 技能资源配置表",
"# 编号","资源列表"
"string","auto"
"id","resources"
"select","({""Assets/Prefabs/Effect/E0003.prefab"",})"
"LOCK","({""Assets/Prefabs/Effect/Lock.prefab"",})"
"reborn","({""Assets/Prefabs/Effect/E0114.prefab"",})"
"no_hit_dmg","({""Assets/Prefabs/Effect/E0131l.prefab"",""Assets/Prefabs/Effect/E0131d.prefab"",""Assets/Prefabs/Effect/E0131f.prefab"",""Assets/Prefabs/Effect/E0131s.prefab"",""Assets/Prefabs/Effect/E0131w.prefab"",})"
"do_addtion_round","({""Assets/Prefabs/Effect/E0133.prefab"",})"
"cd_down","({""Assets/Prefabs/Effect/E3111s2.prefab"",})"
"B_ATK_UP","({""Assets/Prefabs/Effect/E0110.prefab"",})"
"B_DEF_UP","({""Assets/Prefabs/Effect/E0111.prefab"",})"
"B_HP_SHIELD","({""Assets/Prefabs/Effect/E0112.prefab"",})"
"B_EQPT_SHIELD","({""Assets/Prefabs/Effect/E0112.prefab"",})"
"B_DMG_IMMUNE","({""Assets/Prefabs/Effect/E0112.prefab"",})"
"B_NO_DIE","({""Assets/Prefabs/Effect/E0112.prefab"",})"
"B_HP_RECOVER","({""Assets/Prefabs/Effect/E0122.prefab"",})"
"B_HP_RECOVER_SP","({""Assets/Prefabs/Effect/E0122.prefab"",})"
"D_ATK_DOWN","({""Assets/Prefabs/Effect/E0109.prefab"",""Assets/Prefabs/Effect/E9050l2b.prefab"",})"
"D_DEF_DOWN","({""Assets/Prefabs/Effect/E0108.prefab"",})"
"D_FREEZE","({""Assets/Prefabs/Effect/E0113.prefab"",})"
"D_FREEZE_START","({""Assets/Prefabs/Effect/E0113.prefab"",})"
"B_SACRIFICE","({""Assets/Prefabs/Effect/E0112.prefab"",})"
"B_SACRIFICE_ALL","({""Assets/Prefabs/Effect/E0112.prefab"",})"
"B_REBORN_STATUS","({""Assets/Prefabs/Effect/E0124.prefab"",})"
"B_REBORN_PASSIVE","({""Assets/Prefabs/Effect/E0134.prefab"",})"
"B_REBORN_PASSIVE_APPLY","({""Assets/Prefabs/Effect/E0134.prefab"",})"
"B_SPD_UP","({""Assets/Prefabs/Effect/E0116.prefab"",})"
"D_STUN","({""Assets/Prefabs/Effect/E0115.prefab"",})"
"D_SLEEP","({""Assets/Prefabs/Effect/E0125.prefab"",})"
"D_PALSY","({""Assets/Prefabs/Effect/E0126.prefab"",})"
"B_PREPARE","({""Assets/Prefabs/Effect/E0123.prefab"",})"
"B_NEXT_ROUND_ATK","({""Assets/Prefabs/Effect/E2071f3.prefab"",})"
"B_DEF_COUNTER","({""Assets/Prefabs/Effect/E1071l3b.prefab"",})"
"B_FREEZE_TRAP","({""Assets/Prefabs/Effect/E0118w.prefab"",})"
"B_POISON_TRAP","({""Assets/Prefabs/Effect/E0118d.prefab"",})"
"B_STUN_TRAP","({""Assets/Prefabs/Effect/E0118l.prefab"",})"
"B_COUNTER_ATK","({""Assets/Prefabs/Effect/E0120.prefab"",})"
"B_DEBUFF_IMMUNE","({""Assets/Prefabs/Effect/E0121.prefab"",})"
"SOUL_ENTER_MAP","({""Assets/Prefabs/Effect/E9001l2b.prefab"",})"
"SOUL_ENTER_MAP_1","({""Assets/Prefabs/Effect/E6081l2a.prefab"",})"
"CLEAR_DEBUFF","({""Assets/Prefabs/Effect/E0129.prefab"",})"
"B_FIRST_HAND","({""Assets/Prefabs/Effect/E0130.prefab"",})"
"B_AGI_UP","({""Assets/Prefabs/Effect/E0116.prefab"",})"
"B_SHENMO_ATK","({""Assets/Prefabs/Effect/E3121f3.prefab"",})"
"magic_copy_target","({""Assets/Prefabs/Effect/E3121w3b.prefab"",})"
"B_LIGHT_DARK","({""Assets/Prefabs/Effect/E0111.prefab"",})"
"B_ATK_UP_TOWER","({""Assets/Prefabs/Effect/E0111.prefab"",})"
"B_DEF_UP_TOWER","({""Assets/Prefabs/Effect/E0111.prefab"",})"
"B_CAN_NOT_CHOOSE","({""Assets/Prefabs/Effect/secret1.prefab"",})"
"B_FURY","({""Assets/Prefabs/Effect/E2091d3.prefab"",})"
"S_CD_CLEAR","({""Assets/Prefabs/Effect/E4091d4.prefab"",})"
"B_ATK_UP_HADES","({""Assets/Prefabs/Effect/E2061w3b.prefab"",})"
"B_HATE","({""Assets/Prefabs/Effect/E2121w3c.prefab"",})"
"323","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101d.prefab"",""Assets/Prefabs/Effect/E0107d.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/curveFly.prefab"",})"
"324","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101f.prefab"",""Assets/Prefabs/Effect/E0107f.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/curveFly.prefab"",})"
"322","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101l.prefab"",""Assets/Prefabs/Effect/E0107l.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/curveFly.prefab"",})"
"325","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101s.prefab"",""Assets/Prefabs/Effect/E0107s.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/curveFly.prefab"",})"
"326","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101w.prefab"",""Assets/Prefabs/Effect/E0107w.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/curveFly.prefab"",})"
"370","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101d.prefab"",""Assets/Prefabs/Effect/E1021d1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"371","({""Assets/Art/Sounds/s_bow_shoot.wav"",""Assets/Prefabs/Effect/E1021d2a.prefab"",})"
"372","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1021d1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"373","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1021d3a.prefab"",""Assets/Prefabs/Effect/E1021d1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
