"# monster.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# 怪物信息表",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#编号*","备注","名字*","觉醒名字*","图档*","标记位*","星级*","觉醒阶位*","组别*","能合成的怪物*","系统购买价格*","是否是材料宠物*","技能伤害类型*","类型*","种族*","初始等级*","抽取标识","图鉴是否显示*","图鉴奖励参数*","元素*","模型id*","受创点偏移*","箭头偏移*","短描述脚本*","默认初始化初始化*","默认初始化规则*","初始技能*","关联怪物*","AI脚本*","AI脚本参数*","生命系数*","生命觉醒*","攻击系数*","攻击觉醒*","防御系数*","防御觉醒*","默认敏捷*","敏捷觉醒*","默认速度*","默认速度*","显示头像*","基准移动速度*","移动速度缩放*","攻击速度*","施法速度*","经验脚本*","经验参数*","元素经验系数*","觉醒经验系数*","最大星级*","宠物召唤碎片的数量*","光暗召唤石碎片权重","传说召唤石碎片权重","未知召唤石权重","神秘召唤石权重","火之召唤石权重","风之召唤石权重","水之召唤石权重","光暗召唤石权重","传说召唤石权重","历练召唤权重","友情召唤权重","水晶召唤权重","刻印召唤权重","预留","宠物碎片召唤","好友地下城抽取","市场1-2星权重","成长召唤卷权重","史诗召唤卷权重","能否提升技能等级*","分享描述*","觉醒描述*","觉醒描述参数*","觉醒材料*"
"auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto"
"class_id","memo","name","awake_name","icon","flag","star","rank","group","synthe_pet","buy_price","is_material","skill_damage_type","type","race","level","fetch_flag","show_in_manual","manual_bonus","element","model","damage_offset","arrow_offset","short_desc_script","init_script","init_rule","init_skills","relate_list","ai_script","ai_args","hp_co","hp_awaken","atk_co","atk_awaken","def_co","def_awaken","agility_co","agi_awaken","speed_co","spd_awaken","show_icon","move_speed","move_speed_rate","attack_speed","cast_speed","exp_script","exp_arg","upgrade_element","upgrade_wake","max_star","piece_amount","1","2","4","5","6","7","8","9","10","11","12","13",14,15,16,17,18,19,20,"can_level_up_skill","share_desc","awake_desc","awake_arg","awake_material"
1011,"毒蘑菇·火","monster_name_1011","monster_name_1011","""1011""",1,1,0,23,,"([""money"":5000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_FIRE","M1011_f","({-0.05,0.4})",,5030,1002,"pet10","([0:({({324,1})})])","({})",3001,"([])",-345,0,-241,0,-344,0,103,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,10,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,0,"@FALSE",,4240,"([])","({})"
1012,"毒蘑菇·风","monster_name_1011","monster_name_1011","""1012""",2,1,0,23,,"([""money"":5000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_STORM","M1011_s","({-0.05,0.4})",,5030,1002,"pet10","([0:({({325,1})})])","({})",3001,"([])",-345,0,-253,0,-342,0,104,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,10,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,0,"@FALSE",,4240,"([])","({})"
1013,"毒蘑菇·水","monster_name_1011","monster_name_1011","""1013""",3,1,0,23,,"([""money"":5000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_WATER","M1011_w","({-0.05,0.4})",,5030,1002,"pet10","([0:({({326,1})})])","({})",3001,"([])",-333,0,-257,0,-340,0,103,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,10,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,0,"@FALSE",,4240,"([])","({})"
1014,"毒蘑菇·光","monster_name_1011","monster_name_1011","""1014""",4,1,0,23,,"([""money"":50,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@FALSE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_LIGHT","M1011_l","({-0.05,0.4})",,5030,1002,"pet10","([0:({({322,1})})])","({})",3001,"([])",-334,0,-266,0,-330,0,103,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,10,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([])","({})"
1015,"毒蘑菇·暗","monster_name_1011","monster_name_1011","""1015""",5,1,0,23,,"([""money"":50,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@FALSE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_DARK","M1011_d","({-0.05,0.4})",,5030,1002,"pet10","([0:({({323,1})})])","({})",3001,"([])",-325,0,-271,0,-334,0,103,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,10,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([])","({})"
1021,"草精·火","monster_name_1021","monster_name_1021","""1021""",6,2,1,28,,"([""money"":25000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_FIRE","M1021_f","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({374,1}),({375,1}),}),2:({({374,1}),({375,1}),({377,1})})])","({})",3001,"([])",-228,0,-151,0,-181,0,96,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,"@FALSE",,4240,"([""new_skill"":377, ])","({ ({@PRI_MS,15}), ({@MED_FS,2}), ({@PRI_FS,15}), })"
1022,"草精·风","monster_name_1021","monster_name_1021","""1022""",7,2,1,28,5091,"([""money"":25000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_STORM","M1021_s","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({378,1}),({383,1}),}),2:({({378,1}),({383,1}),({381,1})})])","({})",3001,"([])",-110,0,-221,0,-189,0,92,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,"@FALSE",,4240,"([""new_skill"":381, ])","({ ({@PRI_MS,15}), ({@MED_SS,2}), ({@PRI_SS,15}), })"
1023,"草精·水","monster_name_1021","monster_name_1021","""1023""",8,2,1,28,,"([""money"":25000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_WATER","M1021_w","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({382,1}),({379,1}),({384,1}),({475,1}),}),2:({({382,1}),({379,1}),({384,1}),({475,1}),({476,1})})])","({})",3001,"([])",-190,0,-233,0,-197,0,102,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_CRT, ""15%""}), ])","({ ({@PRI_MS,15}), ({@MED_WS,2}), ({@PRI_WS,15}), })"
1024,"草精·光","monster_name_1021","monster_name_1021","""1024""",9,3,1,28,,"([""money"":50,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_LIGHT","M1021_l","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({367,1}),({368,1}),}),2:({({367,1}),({368,1}),({369,1})})])","({})",3001,"([])",-80,0,-236,0,-134,0,95,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,100,0,0,0,0,0,0,100,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([""new_skill"":369, ])","({ ({@MED_MS,5}), ({@PRI_MS,10}), ({@MED_LS,10}), ({@PRI_LS,15}), })"
